UF,Classe,month,seasonal_factor,var
AL,comercial,5,1.0221301740529471,278673553.62000006
AL,comercial,6,0.914107357027936,219662896.0049999
AL,comercial,7,0.903054556091853,166642593.6049999
AL,comercial,8,0.914381161328068,169292880.24500003
AL,comercial,9,0.9289922480620156,180272072.0
AL,comercial,10,1.0115149919555362,190015815.6800001
AL,comercial,11,1.0413526400468045,216740364.02000016
AL,comercial,12,1.0998859148749451,253111500.17999983
AL,industrial,1,1.1832955505341514,6077762777.204999
AL,industrial,2,1.1982882075483356,6240511621.125
AL,industrial,3,1.3328537154583224,7785223849.28
AL,industrial,4,1.0758743304414586,4780610871.125001
AL,industrial,5,1.271555871721303,6999610057.445002
AL,industrial,6,1.085115081576637,5022344909.120001
AL,industrial,7,1.0157802627143857,4311359796.9800005
AL,industrial,8,0.9730213350478796,3907235800.125
AL,industrial,9,0.8605601401981207,2971418632.0200005
AL,industrial,10,0.6559507529939502,1609146450.0
AL,industrial,11,0.6873197396060886,1822063197.7800004
AL,industrial,12,0.6603850121593656,1649297717.7800002
AL,outros,1,1.009589008633332,1075654238.42
AL,outros,2,0.9531838981730651,981050089.68
AL,outros,3,1.0456887144326177,908935566.125
AL,outros,4,1.0492270481291857,935895500.82
AL,outros,5,1.040820203465842,926134722.0
AL,outros,6,0.9515771186200342,727474739.22
AL,outros,7,0.918773331033494,630991497.6800002
AL,outros,8,0.9636839073024944,707854175.405
AL,outros,9,0.956024510380938,727314544.08
AL,outros,10,1.0186718195496431,823916121.1249999
AL,outros,11,1.0244260793996176,897616924.0199999
AL,outros,12,1.068334360879735,957915204.02
AL,residencial,1,1.0684233313211495,
AL,residencial,2,1.0351488764736712,
AL,residencial,3,1.041472301126697,
AL,residencial,4,1.064118857732186,
AL,residencial,5,1.0966181795818553,
AL,residencial,6,0.9290796552032896,
AL,residencial,7,0.8866188637637298,
AL,residencial,8,0.8585075922110333,
AL,residencial,9,0.9052553771437644,
AL,residencial,10,0.9555887667259824,
AL,residencial,11,1.0277575272183073,
AL,residencial,12,1.1314106714983352,
AL,rural,1,1.4856325956559409,25690828.80500001
AL,rural,2,1.0290235896576734,12382776.125000007
AL,rural,3,0.9796883369963691,41513360.805
AL,rural,4,1.0588958867449536,47734266.32
AL,rural,5,0.7169814232272486,28140752.205
AL,rural,6,0.4349834998049075,15338044.98
AL,rural,7,0.429772215743633,14537910.419999996
AL,rural,8,0.4215254248497127,12180567.245
AL,rural,9,0.6286012199342638,3230627.8050000006
AL,rural,10,1.2011546829912418,12162805.205
AL,rural,11,1.6802290848729475,16435937.780000005
AL,rural,12,1.9335120395211087,50213226.84499999
AM,comercial,1,0.93006997867969,1043778103.0
AM,comercial,2,0.8970021479194574,1018657623.0
AM,comercial,3,0.9338302445198924,1087480001.3333335
AM,comercial,4,0.9510361088133548,1126027546.3333335
AM,comercial,5,1.009161344864374,1277804324.3333333
AM,comercial,6,0.980661442677627,1214174910.3333333
AM,comercial,7,1.0333448855584937,1298214139.0
AM,comercial,8,1.0644928622805947,1451119370.3333333
AM,comercial,9,1.0724662147065451,1475708909.6699998
AM,comercial,10,1.07184788930254,1484117616.3333335
AM,comercial,11,1.0378333718959187,1280766427.0
AM,comercial,12,1.0182535087815117,1248912245.053333
AM,industrial,1,0.989943437485392,8853859401.333332
AM,industrial,2,0.9481149142858768,8015589597.0
