Classe,Consumidores,Consumo_MWh,Consumo_kWh,consumo_medio_MWh,consumo_medio_KWh
Industrial,5408760.0,198858357.9,198858357900.0,36.76597924478069,36765.97924478069
Residencial,1004321556.0,179155039.1,179155039100.0,0.17838414204065933,178.38414204065933
Comercial,73991340.0,102288641.3,102288641300.0,1.3824407194139205,1382.4407194139205
Outros,10594326.0,51581431.9,51581431900.0,4.8687789954736145,4868.7789954736145
Rural,46046959.0,30907605.1,30907605100.0,0.6712192459875581,671.2192459875581
