,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
43,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MG,Sudeste,"650147,237",23/02/2026
44,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MS,Centro-Oeste,"2905,486",23/02/2026
45,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MT,Centro-Oeste,"22560,01",23/02/2026
46,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PA,Norte,"377830,612",23/02/2026
47,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PB,Nordeste,"9,018",23/02/2026
48,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PE,Nordeste,"84,073",23/02/2026
49,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PI,Nordeste,"63,18",23/02/2026
50,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PR,Sul,598,23/02/2026
51,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RJ,Sudeste,"1974,556",23/02/2026
52,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RN,Nordeste,5322,23/02/2026
53,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RO,Norte,"2647,278",23/02/2026
54,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RS,Sul,"42,926",23/02/2026
55,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,SC,Sul,"77,499",23/02/2026
56,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,SP,Sudeste,"1684,462",23/02/2026
57,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,TO,Norte,"4134,19",23/02/2026
58,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,AC,Norte,"0,396",23/02/2026
59,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,AL,Nordeste,"792,315",23/02/2026
60,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,AM,Norte,246,23/02/2026
61,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,AP,Norte,258,23/02/2026
62,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,BA,Nordeste,14768,23/02/2026
63,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,CE,Nordeste,"4498,912",23/02/2026
64,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,DF,Centro-Oeste,"0,845",23/02/2026
65,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,ES,Sudeste,"6228,67",23/02/2026
66,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,GO,Centro-Oeste,33937,23/02/2026
67,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,MA,Nordeste,"1471,393",23/02/2026
68,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,MG,Sudeste,"76730,13",23/02/2026
69,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,MS,Centro-Oeste,"3648,055",23/02/2026
70,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,MT,Centro-Oeste,"6124,791",23/02/2026
71,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,PA,Norte,"7826,59",23/02/2026
72,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,PB,Nordeste,"1170,22",23/02/2026
73,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,PE,Nordeste,"5012,473",23/02/2026
74,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,PI,Nordeste,"272,61",23/02/2026
75,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,PR,Sul,"12392,235",23/02/2026
76,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,RJ,Sudeste,"2207,562",23/02/2026
77,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,RN,Nordeste,6078,23/02/2026
